func_name,\texttt{R2E}$_{\text{C1}}$,\texttt{R2E}$_{\text{C3}}$,\texttt{R2E}$_{\text{C4}}$,\texttt{R2E}$_{\text{C5}}$,\texttt{R2E}$_{\text{C6}}$,\texttt{R2E}$_{\text{C7}}$,\texttt{R2E}$_{\text{C8}}$,\texttt{R2E}$_{\text{C9}}$,\texttt{R2E}$_{\text{C2}}$
BytePrimitiveVector.deserialize,0.751838938,0.89462316,0.894543068,0.721048273,0.843849868,0.765250906,0.774800486,0.848883635,0.891117472
RangeDateSelector.synchUI,0.750489736,0.918928753,0.87999327,0.883321698,0.923535239,0.910174855,0.866932895,0.859808833,0.885713904
TransliteratorIDParser.parseCompoundID,0.936300572,0.93899539,0.933027269,0.923949806,0.927990427,0.929673164,0.932123211,0.967897688,0.92975996
HashUtil.bernstein,0.993992506,0.994510369,0.99404559,0.994298154,0.996579779,0.994050676,0.994255767,0.988764609,0.993982332
TimeBoundedStreamJoin.removeExpiredRows,0.901186999,0.920490335,0.922934374,0.921204311,0.925174085,0.916382833,0.913650031,0.920236863,0.91285064
MessageInfo.parseType,0.774485651,0.879854429,0.886578672,0.845357765,0.899506391,0.867081223,0.867168586,0.857793927,0.879444223
Calendar.getPatternData,0.946940616,0.948389637,0.983180599,0.97807089,0.96315358,0.982142633,0.968226194,0.972413932,0.967578147
CatGenConfigMetadataFactory.readDatasetFilterElement,0.912956027,0.925584176,0.926256744,0.932957285,0.94746912,0.941414744,0.930317222,0.929231897,0.937831474
JumboCyclicVertexSearch.toArray,0.893076112,0.989322535,0.892738445,0.989327721,0.989212731,0.990082213,0.98909848,0.989235678,0.892450448
MDLV3000Reader.readBondBlock,0.919451465,0.929437018,0.893385885,0.932373859,0.916580531,0.933890361,0.922442226,0.938798338,0.928999109
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.904606472,0.839962043,0.890015034,0.91357494,0.844833825,0.918906741,0.927582185,0.880532576,0.926120475
UrlResource.readStr,0.843807106,0.770350049,0.845349173,0.836480402,0.844140341,0.840047442,0.844148009,0.844392282,0.845923984
HttpBody.setCharset,0.816300067,0.877965847,0.901926697,0.874637669,0.888728585,0.839153416,0.887331146,0.829696947,0.866887317
StereoElementFactory.interpretProjections,0.718226481,0.897660261,0.950654291,0.836708329,0.896910353,0.880306998,0.993797475,0.883061448,0.873314553
Broadcast.add,0.99667088,0.996705907,0.996699338,0.987402087,0.996735572,0.996407059,0.996630943,0.99677044,0.996679909
TaskInProgress.addRunningTask,0.6968176,0.796328275,0.787513926,0.789503657,0.782582167,0.777712811,0.698898289,0.892172561,0.798852377
