func_name,qwen3-4B_ires,qwen3-8B_ires,doubao-embedding-vision-251215_ires
BootstrapTools.parseDynamicProperties,0.863023256,0.852136421,0.801375563
HttpBody.setCharset,0.862816054,0.888728585,0.823089015
CoronaJobHistory.logInited,0.872839343,0.954973442,0.88003529
JsonUtil.getJsonFriendlyString,0.904611576,0.920354408,0.816158951
TypeUtil.getType,0.799124602,0.837440297,0.797964831
CmsResourceWrapperUtils.addFileExtension,0.937353341,0.950237312,0.899871408
DetectPolygonFromContour.touchesBorder,0.942360587,0.962103367,0.883436857
SpiderHtmlFormParser.processGetForm,0.904033796,0.900952951,0.848146457
GeometryTools.findClosestInSpace,0.919594501,0.895261139,0.811804491
TaskController.destroyTaskJVM,0.820204554,0.842927803,0.731046775
Sftp.lsFiles,0.99988833,0.999879933,1
fannkuch.print_30_permut,0.838418468,0.824181687,0.832915217
CatGenConfigMetadataFactory.readDatasetFilterElement,0.929074273,0.94746912,0.820775998
ReadaheadPool.submitReadahead,0.955633241,0.919687207,0.888912404
DefaultGroovyMethods.trunc,0.914833029,0.906489159,0.835667049
SingleElectronDiff.difference,0.979216842,0.985041933,0.970445468
ToHTMLStream.addUniqueAttribute,0.899287431,0.889294129,0.785123006
WorkbenchPanel.removePanel,0.973668927,0.980382921,0.970067699
S3URI.getChild,0.936543451,0.946207562,0.880729368
Start.begin,0.940895129,0.951556941,0.878204714
IoUtil.toStream,0.9434432,0.956983556,0.921121903
SimpleUnit.makeUnit,0.971340485,0.953211094,0.891925111
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.917766028,0.93770835,0.903269091
TaskInProgress.addRunningTask,0.713095347,0.782582167,0.699434209
DateUtil.calendar,0.947383337,0.951076761,0.928307752
PoissonDistribution.logpmf,0.950582401,0.976332376,0.931548908
TransliteratorIDParser.parseCompoundID,0.921489179,0.927990427,0.871853122
ElementUtil.fromModifierSet,0.968388658,0.963060732,0.926959411
Sql.inout,0.999889491,0.999854372,1
BytePrimitiveVector.deserialize,0.839537894,0.843849868,0.781931573
TimeBoundedStreamJoin.removeExpiredRows,0.933719172,0.925174085,0.850929719
InvCatalogFactory.readXMLasynch,0.770460474,0.785157829,0.80712316
MessageInfo.parseType,0.913137543,0.899506391,0.76475015
