func_name,qwen3-8B_ires,doubao-embedding-vision-251215_ires,qwen3-4B_ires
BootstrapTools.parseDynamicProperties,0.852136421,0.801375563,0.863023256
HttpBody.setCharset,0.888728585,0.823089015,0.862816054
CoronaJobHistory.logInited,0.954973442,0.88003529,0.872839343
JsonUtil.getJsonFriendlyString,0.920354408,0.816158951,0.904611576
TypeUtil.getType,0.837440297,0.797964831,0.799124602
CmsResourceWrapperUtils.addFileExtension,0.950237312,0.899871408,0.937353341
DetectPolygonFromContour.touchesBorder,0.962103367,0.883436857,0.942360587
SpiderHtmlFormParser.processGetForm,0.900952951,0.848146457,0.904033796
GeometryTools.findClosestInSpace,0.895261139,0.811804491,0.919594501
TaskController.destroyTaskJVM,0.842927803,0.731046775,0.820204554
Sftp.lsFiles,0.999879933,1,0.99988833
fannkuch.print_30_permut,0.824181687,0.832915217,0.838418468
CatGenConfigMetadataFactory.readDatasetFilterElement,0.94746912,0.820775998,0.929074273
ReadaheadPool.submitReadahead,0.919687207,0.888912404,0.955633241
DefaultGroovyMethods.trunc,0.906489159,0.835667049,0.914833029
SingleElectronDiff.difference,0.985041933,0.970445468,0.979216842
ToHTMLStream.addUniqueAttribute,0.889294129,0.785123006,0.899287431
WorkbenchPanel.removePanel,0.980382921,0.970067699,0.973668927
S3URI.getChild,0.946207562,0.880729368,0.936543451
Start.begin,0.951556941,0.878204714,0.940895129
IoUtil.toStream,0.956983556,0.921121903,0.9434432
SimpleUnit.makeUnit,0.953211094,0.891925111,0.971340485
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.93770835,0.903269091,0.917766028
TaskInProgress.addRunningTask,0.782582167,0.699434209,0.713095347
DateUtil.calendar,0.951076761,0.928307752,0.947383337
PoissonDistribution.logpmf,0.976332376,0.931548908,0.950582401
TransliteratorIDParser.parseCompoundID,0.927990427,0.871853122,0.921489179
ElementUtil.fromModifierSet,0.963060732,0.926959411,0.968388658
Sql.inout,0.999854372,1,0.999889491
BytePrimitiveVector.deserialize,0.843849868,0.781931573,0.839537894
TimeBoundedStreamJoin.removeExpiredRows,0.925174085,0.850929719,0.933719172
InvCatalogFactory.readXMLasynch,0.785157829,0.80712316,0.770460474
MessageInfo.parseType,0.899506391,0.76475015,0.913137543
StereoElementFactory.interpretProjections,0.896910353,0.819851262,0.837953026
GridVariable.showMissingSummary,0.897602659,0.78850797,0.915939851
RangeDateSelector.synchUI,0.923535239,0.87175586,0.901531687
MetaClassImpl.getMethods,0.957308179,0.880740486,0.953942279
TextWriter.output,0.861174093,0.675486449,0.838811206
CmsSearchTab.removeParameter,0.977359924,0.936193578,0.974815415
EigenvalueDecomposition.getD,0.947410471,0.906152979,0.90680147
Calendar.getPatternData,0.96315358,0.918164105,0.93806381
Types.TUPLE,0.945374286,0.901019318,0.940675107
GammaDistribution.chisquaredProbitApproximation,0.907994178,0.773529496,0.831612428
HBondAcceptorCountDescriptor.calculate,0.962081781,0.922606672,0.957898618
SubWriterHolderWriter.addMemberTree,0.978697199,0.960013139,0.976259072
Main.error,0.845495427,0.83589193,0.840333779
RemoteEnvironment.execute,0.971006341,0.921079689,0.978856171
Broker.getAndRemove,0.952502001,0.881020546,0.91119264
AtomicAllocator.getConfiguration,0.999853342,0.998867402,0.999891103
HashUtil.bernstein,0.996579779,0.991436719,0.994553683
NFAStateSerializer.serializeComputationStates,0.99521603,0.988276257,0.994909916
ClassWriter.writeInnerClasses,0.949086769,0.853371173,0.93520291
StructureDiagramGenerator.placeSgroupBrackets,0.951049514,0.868637319,0.926241126
ExampleLineDetection.detectLineSegments,0.977512356,0.90287351,0.977287562
FileAppender.append,0.902460277,0.816938736,0.886268103
AbstractMTreeNode.integrityCheck,0.899676,0.756929807,0.916388115
GIntegralImageOps.convolve,0.9945269,0.979381084,0.991923025
RestApiConfig.disableGroups,1,0.998570731,0.999916134
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.844833825,0.847542294,0.837864442
UrlResource.readStr,0.844140341,0.774875265,0.799968501
CacheSimpleConfig.setCacheWriterFactory,0.995227895,0.989602094,0.995252814
VariableScopeVisitor.pushState,0.930435486,0.905622942,0.922653216
GeneralizedLogisticAlternateDistribution.pdf,0.895625856,0.836937559,0.920754749
Security.getProviderProperty,0.832733019,0.742166826,0.783168964
QueueContainer.txnCommitPollBackup,0.887794907,0.840994862,0.854513083
Selector.getSelector,0.941841967,0.8924741,0.932931572
MarkedElement.markupMol,0.999901151,1,0.999855647
SMARTSAtomInvariants.configureDaylightWithRingInfo,0.999889718,0.997494371,0.999924045
SparkEMRClient.createCluster,0.800995656,0.762974315,0.836104522
FactoryMultiView.bundleSparseMetric,0.943660777,0.864053207,0.956260678
MatchOps.makeRef,0.998102453,0.995239915,0.996188745
MutableProgress.setTotal,0.952497274,0.876819873,0.951225766
HttpSessionsPanel.setSessionsTableColumnSizes,0.9595037,0.864016917,0.943528347
XLogPDescriptor.getDoubleBondedNitrogenCount,0.987520996,0.965704979,0.984407474
ClientConfig.addNearCacheConfig,0.927058014,0.889214269,0.958202493
NioGroovyMethods.write,0.900535124,0.805666926,0.909875259
HadoopBlockLocation.stripHostname,0.883591886,0.796522329,0.881058467
CmsContentService.getChangeHandlerScopes,0.905050753,0.798518243,0.896633552
FactoryThresholdBinary.localGaussian,0.960581719,0.92174509,0.949903173
CmsDialogElements.computeElements,0.921252323,0.860753384,0.932710668
CoordSysBuilder.findCoordinateTransforms,0.977435009,0.935724928,0.987835818
ParallelStreamReader.performReads,0.766345842,0.675618295,0.74080732
FileReader.checkFile,0.854748279,0.83466645,0.863336521
SourceStreamTask.triggerCheckpoint,0.917809417,0.840792445,0.932128181
VariableIndex.getRecordAt,0.693698218,0.546789537,0.642151879
AsyncLoggerSet.waitForWriteQuorum,0.896882034,0.904996197,0.922366665
Resolve.notOverriddenIn,0.849291806,0.793539226,0.872563312
LazyValueMap.chopMap,0.886409027,0.791665476,0.834832542
QrCodeUtil.encode,0.837697498,0.820288692,0.883679632
ExampleTemplateMatching.showMatchIntensity,0.957038922,0.854105913,0.947152934
KinesisDataFetcher.registerShardMetrics,0.871252923,0.789267662,0.867546567
Formatter.formatMessage,0.909527231,0.857452469,0.897605932
MDLV3000Reader.readBondBlock,0.916580531,0.874212008,0.916188609
Period.moreThan,0.964373167,0.910283903,0.950274518
SaturationChecker.couldMatchAtomType,0.873650348,0.810965633,0.890128262
SquareGridTools.findIntersection,0.888662581,0.81827592,0.851082564
Config.setCacheEventJournalConfigs,0.999923762,0.99893716,0.999864297
MathUtil.binomialCoefficient,0.891336425,0.861411673,0.913419714
CmsEmbeddedDialogHandler.onSiteOrProjectChange,0.991734865,0.991874875,0.989445397
RingbufferService.getOrCreateContainer,0.882321281,0.833496718,0.867264668
MetadataType.getType,0.976085266,0.950456889,0.96999044
SubWriterHolderWriter.addInheritedSummaryHeader,0.991523244,0.986486272,0.995892693
RawLocalFileSystem.getFileCrc,0.921232764,0.840991749,0.918736
RythmEngine.createEngine,0.953207063,0.896813709,0.961481617
XMLTokener.nextMeta,0.827934129,0.776870439,0.889346424
DefaultGroovyMethods.collect,0.99986256,1,0.99987718
StatementUtil.prepareCall,0.986158871,0.961146122,0.965261523
ErddapString2.toRational,0.845480939,0.764050317,0.815306733
CrossOperatorBase.executeOnCollections,0.964132529,0.962111683,0.974031535
DancingLinks.split,0.963426884,0.905091577,0.973020019
TableFactoryService.discoverFactories,0.931316677,0.793772756,0.920425872
Storage.writeAll,0.764742512,0.727594259,0.725181138
CmsObject.loginUser,0.83365737,0.756648845,0.845871844
UploadFileHeader.getContentType,0.918530903,0.79192038,0.942892209
GasteigerPEPEPartialCharges.assignGasteigerPiPartialCharges,0.835634533,0.702981207,0.835475594
TypeExtractor.createHadoopWritableTypeInfo,0.865992615,0.817935089,0.877380134
URI.indexFirstOf,0.985371771,0.973716485,0.990682175
ExampleLineDetection.detectLines,0.94663268,0.885859596,0.932319533
UserCodeDeploymentService.handleClassNotFoundException,0.800705208,0.819794866,0.854401524
CanonicalLabeler.breakTies,0.856088118,0.693135623,0.841244163
JsonOutput.getIndent,0.956418147,0.918407116,0.962268706
GribResourceReader.getInputStream,0.894871643,0.794580799,0.88338437
ConfusionMatrix.rowSum,0.992709624,0.974509392,0.994039649
SecureASTCustomizer.setReceiversClassesWhiteList,0.999889877,0.99914748,0.999850712
Partition.inSameCell,0.980885441,0.949458019,0.982078915
JavacTaskImpl.doCall,0.770951834,0.715918919,0.755331961
DownloadController.setup,0.854502278,0.783944335,0.811659214
ELKILauncher.main,0.780889197,0.745702608,0.796671418
DefaultJsonGenerator.writeMap,0.950430491,0.922808048,0.946060801
BaseAsymmetric.initKeys,0.878841205,0.813868,0.833482323
ArrayUtils.append,0.876202921,0.824582886,0.904133816
OptionsSpiderPanel.getHandleODataSpecificParameters,0.99700421,0.99271913,0.993785365
QrCodeDecoderBits.applyErrorCorrection,0.879704124,0.811523499,0.898224164
MemoryFileManager.hasLocation,0.983745262,0.989958872,0.995466119
DefaultGroovyMethods.min,0.951450106,0.931457095,0.976128491
JavacMessages.instance,0.969970196,0.970488425,0.945185673
DataSet.squishToRange,0.929160949,0.862894728,0.911611905
StandardGenerator.generateAnnotation,0.87007366,0.795207875,0.884774209
TabbedPanel2.setTitleAt,0.936351864,0.902360355,0.929229231
HttpResponse.writeBody,0.859994783,0.794575795,0.84680682
NetworkBufferPool.destroyAllBufferPools,0.917161461,0.861029711,0.911695106
Packet.setPacketType,0.728944718,0.801415655,0.749661819
JdiInitiator.listenTarget,0.875969901,0.767164255,0.81413717
AvatarNode.getProtocolVersion,0.990260504,0.986342841,0.995196133
CmsSecurityManager.readOwner,0.994917191,0.979523536,0.990281688
File.getAbsolutePath,0.778256552,0.722156413,0.805330294
GHistogramFeatureOps.histogram,0.964455736,0.926287543,0.969861043
JavacParser.enumeratorDeclaration,0.927829817,0.890889541,0.915455112
WorkbenchPanel.setPanelsVisible,0.999898115,0.998730784,0.999927076
RStarTreeKNNQuery.batchNN,0.960252876,0.902172446,0.954027579
JavacParser.basicType,0.803524939,0.763238155,0.767268687
FastCopy.alignDatanodes,0.974206707,0.935514792,0.986718249
Invocation.initInvocationTarget,0.842794622,0.766019692,0.846638044
EnumUtil.getNames,0.999904795,1,0.999927209
AtomValenceDescriptor.calculate,0.90686463,0.911860747,0.919444229
ClusterManager.checkResourceRequestLimit,0.8786029,0.804735767,0.887515362
StaticTypeCheckingSupport.isAssignableTo,0.92619964,0.755645354,0.942840233
ClosureSignatureHint.pickGenericType,0.89226274,0.874595162,0.920855724
