func_name,deepseekv3.2_ires,deepseekv4-flash_ires,gpt-5.4-mini_ires,gemini-3.1-flash-lite-preview_ires,Qwen3-32B_ires,Qwen3-Coder-30B-A3B-Instruct_ires
BootstrapTools.parseDynamicProperties,0.814560401,0.85245057,0.924362991,0.912909198,0.852136421,0.888646882
HttpBody.setCharset,0.903579627,0.868245968,0.884685402,0.894853872,0.888728585,0.897781888
CoronaJobHistory.logInited,0.955257898,0.954946899,0.94997482,0.948604566,0.954973442,0.955605517
JsonUtil.getJsonFriendlyString,0.921505024,0.903837038,0.895554534,0.920826375,0.920354408,0.924003534
TypeUtil.getType,0.938955496,0.816612479,0.315114363,0.949013822,0.837440297,0.829664041
CmsResourceWrapperUtils.addFileExtension,0.944371051,0.920790208,0.945831536,0.934865414,0.950237312,0.943478081
DetectPolygonFromContour.touchesBorder,0.917405778,0.913869817,0.915634564,0.967840957,0.962103367,0.916412995
SpiderHtmlFormParser.processGetForm,0.907374257,0.917081928,0.833551271,0.831688594,0.900952951,0.923451084
GeometryTools.findClosestInSpace,0.898323894,0.918484295,0.921836707,0.909997071,0.895261139,0.896033064
TaskController.destroyTaskJVM,0.889286636,0.909192879,0.869781801,0.871463363,0.842927803,0.886383857
Sftp.lsFiles,0.992134792,0.992538898,0.999886671,0.999891676,0.999879933,0.992453243
fannkuch.print_30_permut,0.758058314,0.758626635,0.862575934,0.881135578,0.824181687,0.829118876
CatGenConfigMetadataFactory.readDatasetFilterElement,0.948445146,0.953155433,0.941381935,0.943933244,0.94746912,0.952504705
ReadaheadPool.submitReadahead,0.935833219,0.906888167,0.94935357,0.942020029,0.919687207,0.910490271
DefaultGroovyMethods.trunc,0.90665566,0.913216399,0.854150283,0.938176874,0.906489159,0.932721378
SingleElectronDiff.difference,0.986947852,0.99241506,0.9887213,0.985143817,0.985041933,0.993206156
ToHTMLStream.addUniqueAttribute,0.920026497,0.949807565,0.938135584,0.930699149,0.889294129,0.915386688
WorkbenchPanel.removePanel,0.981261969,0.976303178,0.984567258,0.980355165,0.980382921,0.978890927
S3URI.getChild,0.941805904,0.957223767,0.965094612,0.956470919,0.946207562,0.967380185
Start.begin,0.951762318,0.951975419,0.91034973,0.91051407,0.951556941,0.854165686
IoUtil.toStream,0.956484822,0.956869668,0.984840865,0.987179733,0.956983556,0.957367712
SimpleUnit.makeUnit,0.958873169,0.953515521,1,0.915758626,0.953211094,0.99990316
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.944420715,0.937626863,0.951155239,0.931802588,0.93770835,0.936549345
TaskInProgress.addRunningTask,0.789599061,0.798288805,0.717122949,0.8091905,0.782582167,0.787655525
DateUtil.calendar,0.952146251,0.964669254,0.96097642,0.960514323,0.951076761,0.912281574
PoissonDistribution.logpmf,0.970062319,0.967885973,0.962085969,0.886944564,0.976332376,0.974410435
TransliteratorIDParser.parseCompoundID,0.966615039,0.956759073,0.953687293,0.930662407,0.927990427,0.947900869
ElementUtil.fromModifierSet,0.963718391,0.963299919,0.997961773,0.969067098,0.963060732,0.965326021
Sql.inout,0.999860219,1,0.999870593,0.999864169,0.999854372,0.999896141
BytePrimitiveVector.deserialize,0.844489483,0.89445103,0.899654539,0.908316885,0.843849868,0.811427739
TimeBoundedStreamJoin.removeExpiredRows,0.925125813,0.922616998,0.927528404,0.823910087,0.925174085,0.924089862
InvCatalogFactory.readXMLasynch,0.785949983,0.794644913,0.921421512,0.833687375,0.785157829,0.811994668
MessageInfo.parseType,0.900622181,0.903572765,0.894479893,0.939232038,0.899506391,0.846417995
StereoElementFactory.interpretProjections,0.880540537,0.843547959,0.94412753,0.918092236,0.896910353,0.912046302
GridVariable.showMissingSummary,0.910355014,0.916994433,0.96966527,0.932855231,0.897602659,0.909934255
RangeDateSelector.synchUI,0.923656083,0.860824102,0.861253196,0.904501425,0.923535239,0.918253709
MetaClassImpl.getMethods,0.954494698,0.956159455,0.937286735,0.945103442,0.957308179,0.960047639
TextWriter.output,0.850484568,0.864076982,0.875490052,0.848948262,0.861174093,0.861627296
CmsSearchTab.removeParameter,0.979154663,0.967216075,0.979816618,0.933833823,0.977359924,0.969253752
EigenvalueDecomposition.getD,0.945321887,0.944891889,0.980287781,0.932803142,0.947410471,0.947535266
Calendar.getPatternData,0.980782874,0.983920725,0.939408196,0.957426205,0.96315358,0.971270719
Types.TUPLE,0.94558004,0.934754956,0.941898298,0.941148396,0.945374286,0.933596732
GammaDistribution.chisquaredProbitApproximation,0.905571992,0.894266051,0.909407759,0.882109612,0.907994178,0.906924933
HBondAcceptorCountDescriptor.calculate,0.95748178,0.95720143,0.957458317,0.953938817,0.962081781,0.929444265
SubWriterHolderWriter.addMemberTree,0.985176927,0.982137421,0.977952645,0.965391609,0.978697199,0.981828001
Main.error,0.84673338,0.853857624,0.871233027,0.89005974,0.845495427,0.901789428
RemoteEnvironment.execute,0.959865781,0.978449574,0.906261277,0.942427027,0.971006341,0.970353303
Broker.getAndRemove,0.952096066,0.899715488,0.854134951,0.855147107,0.952502001,0.875393068
AtomicAllocator.getConfiguration,0.920797125,0.999867435,0.924508141,0.955698606,0.999853342,0.921746268
HashUtil.bernstein,0.994020542,0.994278826,0.777300881,0.996621884,0.996579779,0.993859284
NFAStateSerializer.serializeComputationStates,0.995123937,0.995322938,0.99546639,0.995255785,0.99521603,0.99544507
ClassWriter.writeInnerClasses,0.936965004,0.941840269,0.970414616,0.909916761,0.949086769,0.951314067
StructureDiagramGenerator.placeSgroupBrackets,0.863869804,0.90311833,0.941737697,0.929263809,0.951049514,0.897270024
ExampleLineDetection.detectLineSegments,0.972822657,0.986128686,0.964485394,0.956596469,0.977512356,0.947832311
FileAppender.append,0.902913086,0.964805429,0.964411354,0.964078373,0.902460277,0.964697461
AbstractMTreeNode.integrityCheck,0.900854131,0.852062624,0.805828037,0.74302321,0.899676,0.715360365
GIntegralImageOps.convolve,0.995190743,0.996099195,0.997310383,0.997192277,0.9945269,0.994659942
RestApiConfig.disableGroups,0.999877357,0.99988662,0.999944357,0.999893984,1,0.999896727
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.853408711,0.849104098,0.903792344,0.847604018,0.844833825,0.849349229
UrlResource.readStr,0.844662223,0.768039703,0.981418203,0.910202698,0.844140341,0.844112762
CacheSimpleConfig.setCacheWriterFactory,0.999859473,0.999886162,0.999801535,0.999889977,0.995227895,0.99982756
VariableScopeVisitor.pushState,0.888722873,0.869312646,0.849558894,0.840590572,0.930435486,0.872065626
GeneralizedLogisticAlternateDistribution.pdf,0.898733818,0.884639906,0.90558815,0.931875424,0.895625856,0.921314487
Security.getProviderProperty,0.828918642,0.838212323,0.854105039,0.847368009,0.832733019,0.861782037
QueueContainer.txnCommitPollBackup,0.878850323,0.953831499,0.885759643,0.948611502,0.887794907,0.953408337
Selector.getSelector,0.91602842,0.946400363,0.944568528,0.927414691,0.941841967,0.943575958
MarkedElement.markupMol,0.976650854,1,0.864283216,0.999905536,0.999901151,0.976338062
SMARTSAtomInvariants.configureDaylightWithRingInfo,0.999951548,0.999915417,0.999915417,0.999912194,0.999889718,0.999899556
SparkEMRClient.createCluster,0.756484157,0.886011973,0.886195814,0.906956192,0.800995656,0.84947952
FactoryMultiView.bundleSparseMetric,0.94408003,0.974042918,0.978014327,0.956010017,0.943660777,0.960707613
MatchOps.makeRef,0.997242712,0.996286816,0.999884613,1,0.998102453,0.987559026
MutableProgress.setTotal,0.952851102,0.940569121,0.919713115,0.966278992,0.952497274,0.914309503
HttpSessionsPanel.setSessionsTableColumnSizes,0.962186586,0.93335806,0.916916588,0.932487081,0.9595037,0.958710885
XLogPDescriptor.getDoubleBondedNitrogenCount,0.975715066,0.989854213,0.988289354,0.987592104,0.987520996,0.989354024
ClientConfig.addNearCacheConfig,0.926283035,0.920831949,0.857330807,0.99991588,0.927058014,0.999846845
NioGroovyMethods.write,0.883341938,0.902882521,0.928298223,0.940299925,0.900535124,0.934696668
HadoopBlockLocation.stripHostname,0.872147995,0.891691747,0.883635434,0.850736718,0.883591886,0.914398297
CmsContentService.getChangeHandlerScopes,0.904848615,0.91293604,0.936405813,0.928134268,0.905050753,0.949300101
FactoryThresholdBinary.localGaussian,0.964690914,0.994752784,0.999914597,0.994499332,0.960581719,0.988431134
