func_name,deepseekv3.2_ires,deepseekv4-flash_ires,Qwen3-Coder-30B-A3B-Instruct_ires,gpt-5.4-mini_ires,Qwen3-32B_ires,gemini-3.1-flash-lite-preview_ires
BootstrapTools.parseDynamicProperties,0.814560401,0.85245057,0.888646882,0.924362991,0.852136421,0.912909198
HttpBody.setCharset,0.903579627,0.868245968,0.897781888,0.884685402,0.888728585,0.894853872
CoronaJobHistory.logInited,0.955257898,0.954946899,0.955605517,0.94997482,0.954973442,0.948604566
JsonUtil.getJsonFriendlyString,0.921505024,0.903837038,0.924003534,0.895554534,0.920354408,0.920826375
TypeUtil.getType,0.938955496,0.816612479,0.829664041,0.315114363,0.837440297,0.949013822
CmsResourceWrapperUtils.addFileExtension,0.944371051,0.920790208,0.943478081,0.945831536,0.950237312,0.934865414
DetectPolygonFromContour.touchesBorder,0.917405778,0.913869817,0.916412995,0.915634564,0.962103367,0.967840957
SpiderHtmlFormParser.processGetForm,0.907374257,0.917081928,0.923451084,0.833551271,0.900952951,0.831688594
GeometryTools.findClosestInSpace,0.898323894,0.918484295,0.896033064,0.921836707,0.895261139,0.909997071
TaskController.destroyTaskJVM,0.889286636,0.909192879,0.886383857,0.869781801,0.842927803,0.871463363
Sftp.lsFiles,0.992134792,0.992538898,0.992453243,0.999886671,0.999879933,0.999891676
fannkuch.print_30_permut,0.758058314,0.758626635,0.829118876,0.862575934,0.824181687,0.881135578
CatGenConfigMetadataFactory.readDatasetFilterElement,0.948445146,0.953155433,0.952504705,0.941381935,0.94746912,0.943933244
ReadaheadPool.submitReadahead,0.935833219,0.906888167,0.910490271,0.94935357,0.919687207,0.942020029
DefaultGroovyMethods.trunc,0.90665566,0.913216399,0.932721378,0.854150283,0.906489159,0.938176874
SingleElectronDiff.difference,0.986947852,0.99241506,0.993206156,0.9887213,0.985041933,0.985143817
ToHTMLStream.addUniqueAttribute,0.920026497,0.949807565,0.915386688,0.938135584,0.889294129,0.930699149
WorkbenchPanel.removePanel,0.981261969,0.976303178,0.978890927,0.984567258,0.980382921,0.980355165
S3URI.getChild,0.941805904,0.957223767,0.967380185,0.965094612,0.946207562,0.956470919
Start.begin,0.951762318,0.951975419,0.854165686,0.91034973,0.951556941,0.91051407
IoUtil.toStream,0.956484822,0.956869668,0.957367712,0.984840865,0.956983556,0.987179733
SimpleUnit.makeUnit,0.958873169,0.953515521,0.99990316,1,0.953211094,0.915758626
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.944420715,0.937626863,0.936549345,0.951155239,0.93770835,0.931802588
TaskInProgress.addRunningTask,0.789599061,0.798288805,0.787655525,0.717122949,0.782582167,0.8091905
DateUtil.calendar,0.952146251,0.964669254,0.912281574,0.96097642,0.951076761,0.960514323
PoissonDistribution.logpmf,0.970062319,0.967885973,0.974410435,0.962085969,0.976332376,0.886944564
TransliteratorIDParser.parseCompoundID,0.966615039,0.956759073,0.947900869,0.953687293,0.927990427,0.930662407
ElementUtil.fromModifierSet,0.963718391,0.963299919,0.965326021,0.997961773,0.963060732,0.969067098
Sql.inout,0.999860219,1,0.999896141,0.999870593,0.999854372,0.999864169
BytePrimitiveVector.deserialize,0.844489483,0.89445103,0.811427739,0.899654539,0.843849868,0.908316885
TimeBoundedStreamJoin.removeExpiredRows,0.925125813,0.922616998,0.924089862,0.927528404,0.925174085,0.823910087
InvCatalogFactory.readXMLasynch,0.785949983,0.794644913,0.811994668,0.921421512,0.785157829,0.833687375
MessageInfo.parseType,0.900622181,0.903572765,0.846417995,0.894479893,0.899506391,0.939232038
StereoElementFactory.interpretProjections,0.880540537,0.843547959,0.912046302,0.94412753,0.896910353,0.918092236
GridVariable.showMissingSummary,0.910355014,0.916994433,0.909934255,0.96966527,0.897602659,0.932855231
