func_name,Deepseek-V3.2,Deepseek-V4-Flash,GPT-5.4-mini,Gemini-3.1-Flash-Lite-Preview,Qwen3-32B,Qwen3-Coder-30B-A3B-Instruct
BootstrapTools.parseDynamicProperties,0.869826127,0.910325699,0.904834053,0.958731065,0.8610216,0.852136421
HttpBody.setCharset,0.910263016,0.923416948,0.926476599,0.926448417,0.906480679,0.888728585
CoronaJobHistory.logInited,0.954842542,0.999873415,1,0.964045649,0.955196617,0.954973442
JsonUtil.getJsonFriendlyString,0.91888511,0.944669106,0.923237313,0.862410279,0.856979268,0.920354408
TypeUtil.getType,0.89386368,0.949192717,0.942920464,0.957079638,0.950193958,0.837440297
CmsResourceWrapperUtils.addFileExtension,0.91084552,0.952473825,0.942175397,0.890586093,0.928468141,0.950237312
DetectPolygonFromContour.touchesBorder,0.97655928,0.97291637,0.945130239,0.976499616,0.921912255,0.962103367
SpiderHtmlFormParser.processGetForm,0.878188886,0.831409688,0.871742662,0.85412509,0.82095496,0.900952951
GeometryTools.findClosestInSpace,0.919877493,0.892048877,0.899440959,0.884200819,0.896011872,0.895261139
TaskController.destroyTaskJVM,0.89899262,0.95662171,0.880226215,0.847919994,0.848532786,0.842927803
Sftp.lsFiles,0.999881504,0.992640282,0.992183447,0.992338068,0.992190957,0.999879933
fannkuch.print_30_permut,0.830396169,0.919731775,0.896766603,0.865766347,0.927014236,0.824181687
CatGenConfigMetadataFactory.readDatasetFilterElement,0.959740762,0.942392123,0.908222554,0.940695062,0.92558829,0.94746912
ReadaheadPool.submitReadahead,0.890608871,0.949870809,0.958120487,0.964635565,0.911711954,0.919687207
DefaultGroovyMethods.trunc,0.904793449,0.906138691,0.849642003,0.880684546,0.932801902,0.906489159
SingleElectronDiff.difference,0.980101123,0.984934954,0.991268008,0.977800208,0.993186038,0.985041933
ToHTMLStream.addUniqueAttribute,0.947541982,0.902265669,0.912546518,0.876354669,0.912796237,0.889294129
WorkbenchPanel.removePanel,0.982067571,0.977874864,0.981587848,0.978693613,0.98002437,0.980382921
S3URI.getChild,0.937275762,0.939400402,0.962671375,0.936344805,0.944356335,0.946207562
Start.begin,0.81941312,0.866428923,0.902063116,0.819826683,0.920209459,0.951556941
IoUtil.toStream,0.996202773,0.867947033,0.84295647,0.886894684,0.874526152,0.956983556
SimpleUnit.makeUnit,0.957872126,0.957832446,0.999894628,0.952700003,0.892309315,0.953211094
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.929754172,0.936313556,0.918297636,0.948380984,0.940736524,0.93770835
TaskInProgress.addRunningTask,0.862110935,0.873733616,0.838784751,0.877772152,0.819361434,0.782582167
DateUtil.calendar,0.909047839,0.914008067,0.914060757,0.962031474,0.962525484,0.951076761
PoissonDistribution.logpmf,0.977378579,0.971064287,0.974868419,0.942748183,0.957710194,0.976332376
TransliteratorIDParser.parseCompoundID,0.943641725,0.961913825,0.974245394,0.932105421,0.959585503,0.927990427
ElementUtil.fromModifierSet,0.965853892,0.997904989,1,0.968457228,0.994570579,0.963060732
Sql.inout,0.951994391,0.999883615,0.999903787,0.999896141,0.999910461,0.999854372
BytePrimitiveVector.deserialize,0.829997918,0.840556668,0.791592247,0.890015851,0.891920747,0.843849868
TimeBoundedStreamJoin.removeExpiredRows,0.929015407,0.91696512,0.914865344,0.922681015,0.918913733,0.925174085
InvCatalogFactory.readXMLasynch,0.79704064,0.785315334,0.990339816,0.785396436,0.872390373,0.785157829
MessageInfo.parseType,0.92292165,0.914073133,0.951742899,0.832077794,0.922899476,0.899506391
StereoElementFactory.interpretProjections,0.816180534,0.928796603,0.912533339,0.941006625,0.912293504,0.896910353
GridVariable.showMissingSummary,0.957407323,0.965433651,0.835660012,0.951332048,0.901684538,0.897602659
RangeDateSelector.synchUI,0.909944343,0.88974032,0.892080122,0.910421174,0.869841635,0.923535239
