func_name,Deepseek-V3.2,Gemini-3.1-Flash-Lite-Preview,Qwen3-32B,Qwen3-Coder-30B-A3B-Instruct,GPT-5.4-mini,Deepseek-V4-Flash
BootstrapTools.parseDynamicProperties,0.869826127,0.958731065,0.8610216,0.852136421,0.904834053,0.910325699
HttpBody.setCharset,0.910263016,0.926448417,0.906480679,0.888728585,0.926476599,0.923416948
CoronaJobHistory.logInited,0.954842542,0.964045649,0.955196617,0.954973442,1,0.999873415
JsonUtil.getJsonFriendlyString,0.91888511,0.862410279,0.856979268,0.920354408,0.923237313,0.944669106
TypeUtil.getType,0.89386368,0.957079638,0.950193958,0.837440297,0.942920464,0.949192717
CmsResourceWrapperUtils.addFileExtension,0.91084552,0.890586093,0.928468141,0.950237312,0.942175397,0.952473825
DetectPolygonFromContour.touchesBorder,0.97655928,0.976499616,0.921912255,0.962103367,0.945130239,0.97291637
SpiderHtmlFormParser.processGetForm,0.878188886,0.85412509,0.82095496,0.900952951,0.871742662,0.831409688
GeometryTools.findClosestInSpace,0.919877493,0.884200819,0.896011872,0.895261139,0.899440959,0.892048877
TaskController.destroyTaskJVM,0.89899262,0.847919994,0.848532786,0.842927803,0.880226215,0.95662171
Sftp.lsFiles,0.999881504,0.992338068,0.992190957,0.999879933,0.992183447,0.992640282
fannkuch.print_30_permut,0.830396169,0.865766347,0.927014236,0.824181687,0.896766603,0.919731775
CatGenConfigMetadataFactory.readDatasetFilterElement,0.959740762,0.940695062,0.92558829,0.94746912,0.908222554,0.942392123
ReadaheadPool.submitReadahead,0.890608871,0.964635565,0.911711954,0.919687207,0.958120487,0.949870809
DefaultGroovyMethods.trunc,0.904793449,0.880684546,0.932801902,0.906489159,0.849642003,0.906138691
SingleElectronDiff.difference,0.980101123,0.977800208,0.993186038,0.985041933,0.991268008,0.984934954
ToHTMLStream.addUniqueAttribute,0.947541982,0.876354669,0.912796237,0.889294129,0.912546518,0.902265669
WorkbenchPanel.removePanel,0.982067571,0.978693613,0.98002437,0.980382921,0.981587848,0.977874864
S3URI.getChild,0.937275762,0.936344805,0.944356335,0.946207562,0.962671375,0.939400402
Start.begin,0.81941312,0.819826683,0.920209459,0.951556941,0.902063116,0.866428923
IoUtil.toStream,0.996202773,0.886894684,0.874526152,0.956983556,0.84295647,0.867947033
SimpleUnit.makeUnit,0.957872126,0.952700003,0.892309315,0.953211094,0.999894628,0.957832446
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.929754172,0.948380984,0.940736524,0.93770835,0.918297636,0.936313556
TaskInProgress.addRunningTask,0.862110935,0.877772152,0.819361434,0.782582167,0.838784751,0.873733616
