func_name,k0_ires,k1_ires,k2_ires,k3_ires,k4_ires,k5_ires,k6_ires,k7_ires,k8_ires,k9_ires,k10_ires
ReadaheadPool.submitReadahead,0.939192498,0.904006898,0.936974347,0.919687207,0.941517949,0.940970004,0.940970004,0.940970004,0.954229951,0.940970004,0.941517949
UrlResource.readStr,0.912869386,0.848620355,0.828611851,0.844140341,0.845694482,0.8452546,0.8452546,0.8452546,0.845694482,0.913567126,0.913905263
JavacMessages.instance,0.939974706,0.967116177,0.961757898,0.969970196,0.967116177,0.967236221,0.967116177,0.967116177,0.967236221,0.967236221,0.967236221
SingleElectronDiff.difference,0.943067701,0.98917377,0.993206203,0.985041933,0.986588299,0.988240361,0.993430674,0.988240361,0.993493855,0.993430674,0.987683654
QrCodeUtil.encode,0.839630432,0.874260545,0.839900911,0.837697498,0.901472449,0.839900911,0.841309905,0.841309905,0.88172555,0.905747652,0.865193784
DetectPolygonFromContour.touchesBorder,0.913506864,0.945130289,0.913894117,0.962103367,0.915621877,0.94699049,0.962731779,0.945130289,0.951470375,0.915343285,0.944707513
JumboCyclicVertexSearch.toArray,0.892629765,0.99013418,0.990051925,0.989212731,0.989845455,0.99013418,0.99013418,0.99013418,0.990051925,0.99013418,0.990051925
StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,0.857499297,0.8559497,0.844271541,0.844833825,0.880970597,0.855494738,0.855076075,0.830377936,0.879188597,0.917677402,0.879188597
ElementUtil.fromModifierSet,0.964187354,0.965124309,0.964874148,0.963060732,0.965124309,0.964874148,0.965124309,0.965124309,0.964874148,0.964874148,0.964874148
FastCopy.alignDatanodes,0.96353887,0.964893878,0.963459373,0.974206707,0.978615582,0.978615582,0.978615582,0.978615582,0.975311577,0.978615582,0.978675008
RangeDateSelector.synchUI,0.864339244,0.892638505,0.940469563,0.923535239,0.94584173,0.851743937,0.8598212,0.879847586,0.853447616,0.942445695,0.94231391
CmsResourceWrapperUtils.addFileExtension,0.925736565,0.949617803,0.951655865,0.950237312,0.946551979,0.943842292,0.94167161,0.943842292,0.949647069,0.949254632,0.953854382
CacheSimpleConfig.setCacheWriterFactory,0.94861576,0.99508357,0.994964838,0.995227895,0.99508357,0.994964838,0.999911368,0.99508357,0.994964838,0.994964838,0.994964838
ToHTMLStream.addUniqueAttribute,0.851566898,0.933169186,0.935565054,0.889294129,0.915107965,0.912606478,0.914517403,0.914517403,0.915107965,0.914517403,0.915107965
BootstrapTools.parseDynamicProperties,0.970440894,0.863852739,0.889120638,0.852136421,0.889120638,0.881620765,0.893878281,0.886589587,0.88660872,0.960562825,0.966170311
S3URI.getChild,0.939978995,0.950012684,0.960384727,0.946207562,0.966335356,0.965408087,0.966187775,0.952264607,0.946203291,0.96282661,0.962774217
SimpleUnit.makeUnit,0.946887464,0.892662525,1,0.953211094,0.936303496,0.888927639,0.93693161,0.93693161,0.936303496,0.934551477,0.9346416
GeneralizedLogisticAlternateDistribution.pdf,0.886660119,0.901220381,0.916306853,0.895625856,0.903482497,0.915924311,0.915924311,0.915924311,0.916306853,0.937831819,0.940838039
QueueContainer.txnCommitPollBackup,0.854696636,0.922998786,0.945315003,0.887794907,0.956962287,0.945237577,0.945237577,0.945237577,0.945313931,0.96237129,0.947393179
IoUtil.toStream,0.962384607,0.962274909,0.984719157,0.956983556,0.961791873,0.962274909,0.987376153,0.984802246,0.984719157,0.956653535,0.96260196
GridVariable.showMissingSummary,0.925836743,0.913912833,0.905961692,0.897602659,0.902309179,0.885796249,0.910173655,0.903573275,0.961837351,0.961837351,0.987709105
ClientConfig.addNearCacheConfig,0.909600614,0.906014979,0.905514419,0.927058014,0.906014979,0.905514419,0.90937084,0.90937084,1.000000119,1.000000119,0.905514419
JsonUtil.getJsonFriendlyString,0.925464904,0.923637629,0.922899723,0.920354408,0.923821032,0.923637629,0.924886107,0.923637629,0.922899723,0.924886107,0.92572701
ScanProgressDialog.getJScrollPane,0.781992425,0.936163247,0.934516728,0.94208487,0.922456682,0.92672801,0.935127854,0.92672801,0.931573689,0.935127854,0.922314405
DownloadController.setup,0.86556875,0.851823151,0.892178297,0.854502278,0.890367091,0.819684505,0.890367091,0.890367091,0.82850039,0.848304868,0.848304868
Sftp.lsFiles,0.711298101,0.992760003,0.992680311,0.999879933,0.992760003,0.992680311,0.5505054,0.992760003,0.992680311,0.992680311,0.992680311
StereoElementFactory.interpretProjections,0.912958347,0.889746428,0.912808836,0.896910353,0.941357255,0.940760255,0.940924108,0.940760255,0.941357255,0.940760255,0.941357255
FileAppender.append,0.863623924,0.964965582,0.964965582,0.902460277,0.964965582,0.965088725,0.965088725,0.964965582,0.964965582,0.965088725,0.964965582
EigenvalueDecomposition.getD,0.949211811,0.948479116,0.94586122,0.947410471,0.948074102,0.95686698,0.948074102,0.946621001,0.94586122,0.95686698,0.947250068
Main.error,0.663549952,0.821285307,0.894927859,0.845495427,0.877473295,0.903725207,0.89124167,0.895213842,0.921453893,0.905793071,0.906665027
Types.TUPLE,0.948453907,0.999911368,1,0.945374286,0.93026185,0.931714177,0.93283236,0.93093729,0.998965621,0.934134603,0.998965621
PoissonDistribution.logpmf,0.891581193,0.962250769,0.902204156,0.976332376,0.950217187,0.961615562,0.966396391,0.973020673,0.969113469,0.962275207,0.967288136
HttpBody.setCharset,0.881364565,0.894450605,0.875677943,0.888728585,0.878496766,0.893083394,0.899741948,0.878644109,0.89357084,0.878644109,0.883607388
JavacParser.basicType,0.815869268,0.82310921,0.78003794,0.803524939,0.761035562,0.758047938,0.758477569,0.758477569,0.760093927,0.760759771,0.777755022
CmsSearchTab.removeParameter,0.882369231,0.897297978,0.980089903,0.977359924,0.980089903,0.980557978,0.899896324,0.938622355,0.873656452,0.980557978,0.980089903
SparkEMRClient.createCluster,0.674386319,0.91471988,0.803650141,0.800995656,0.916363478,0.85013181,0.848889351,0.894881189,0.839528024,0.870025635,0.831582844
MetaClassImpl.getMethods,0.9327762,0.962713718,0.9675982,0.957308179,0.950580478,0.9613446,0.959263384,0.970233679,0.948337317,0.970369697,0.898615122
WorkbenchPanel.removePanel,0.881902698,0.979707122,0.979717433,0.980382921,0.979707122,0.97913456,0.978856802,0.978856802,0.97913456,0.97913456,0.97913456
HashUtil.bernstein,0.994362328,0.994230986,0.993993223,0.996579779,0.993863881,0.994230986,0.994230986,0.994230986,0.993993223,0.994230986,0.993993223
DateUtil.calendar,0.863731781,0.84261179,0.964259803,0.951076761,0.960341632,0.95929414,0.95929414,0.91235894,0.964259803,0.95929414,0.960341632
DataSet.squishToRange,0.832724094,0.971487463,0.970543921,0.929160949,0.971487463,0.971487463,0.971487463,0.971487463,0.970543921,0.970543921,0.970543921
TextWriter.output,0.722538733,0.713350773,0.770117223,0.861174093,0.834084451,0.875561416,0.861512959,0.882680297,0.875484526,0.877588928,0.869291306
GeometryTools.findClosestInSpace,0.878288523,0.880486965,0.892611146,0.895261139,0.888541758,0.912828922,0.8944242,0.89404881,0.914683998,0.881619751,0.882886887
MessageInfo.parseType,0.876521233,0.889098942,0.894004226,0.899506391,0.855713844,0.806643844,0.90031606,0.856005967,0.904804587,0.848806918,0.889384925
Broker.getAndRemove,0.700479447,0.886065125,0.878795207,0.952502001,0.880916417,0.880255222,0.880663872,0.964284599,0.881069601,0.885905504,0.881069601
CoronaJobHistory.logInited,0.850233606,0.955107033,0.954581022,0.954973442,0.954581022,0.958773851,0.955107033,0.958773851,0.958844244,0.958773851,0.958844244
RemoteEnvironment.execute,0.923540583,0.912682831,0.970526814,0.971006341,0.970773458,0.970526814,0.970773458,0.970773458,0.970526814,0.971422553,0.971422553
Calendar.getPatternData,0.850697822,0.974051893,0.952056408,0.96315358,0.961387217,0.946453989,0.951486886,0.972185075,0.971943438,0.960116565,0.942173183
SpiderHtmlFormParser.processGetForm,0.880644994,0.902170122,0.933806658,0.900952951,0.916906536,0.879825115,0.879825115,0.868916631,0.911482096,0.91099757,0.9099195
DefaultGroovyMethods.trunc,0.931574278,0.932052374,0.931902766,0.906489159,0.931902766,0.932052374,0.932052374,0.932052374,0.931902766,0.932052374,0.931902766
Selector.getSelector,0.901988531,0.882714748,0.95040977,0.941841967,0.942590535,0.941827059,0.917606294,0.917606294,0.941606402,0.941606402,0.946220279
TaskController.destroyTaskJVM,0.88604401,0.905964434,0.879134238,0.842927803,0.811066508,0.87879163,0.882246017,0.873909593,0.876206994,0.865823388,0.880239487
SubWriterHolderWriter.addMemberTree,0.903394207,0.91160965,0.982137442,0.978697199,0.982371926,0.982371926,0.982371926,0.982137442,0.982137442,0.984618187,0.985067844
ArrayUtils.append,0.843708483,0.89519161,0.9694134,0.876202921,0.9694134,0.968735337,0.894870162,0.9694134,0.895050943,0.894870162,0.895050943
FactoryThresholdBinary.localGaussian,0.916740912,0.994691014,0.994727731,0.960581719,0.994594634,0.994998753,0.994730711,0.994661748,0.994661748,0.999914289,0.994661748
RestApiConfig.disableGroups,0.882813676,1,1,1,1,0.999913216,0.999913216,1,1,0.999913216,1
TaskInProgress.addRunningTask,0.80928359,0.780004203,0.789324462,0.782582167,0.798618853,0.818858922,0.790333629,0.814335763,0.813564181,0.814014316,0.685882151
InvCatalogFactory.readXMLasynch,0.862012726,0.862405658,0.854086578,0.785157829,0.868405461,0.868974507,0.868974507,0.860939145,0.856339037,0.860939145,0.832459271
CmsContentService.getChangeHandlerScopes,0.903779167,0.936259747,0.945417821,0.905050753,0.945418417,0.954686999,0.952828526,0.947689891,0.952458739,0.952828526,0.952458739
Sql.inout,0.907857577,0.916430295,1,0.999854372,0.999913752,0.99990505,0.99990505,0.99990505,1,0.99990505,1
VariableScopeVisitor.pushState,0.865122659,0.900686741,0.900686741,0.930435486,0.874619305,0.874619305,0.87404114,0.874619305,0.874619305,0.87404114,0.874619305
CmsEmbeddedDialogHandler.onSiteOrProjectChange,0.935344688,1.000000119,1.000000119,0.991734865,0.999900818,0.999913216,0.999913216,1.000000119,1.000000119,0.999913216,1.000000119
MathUtil.binomialCoefficient,0.922502841,0.930260837,0.930260837,0.891336425,0.929935336,0.929894209,0.929894209,0.903237104,0.903237104,0.904129863,0.930260837
DefaultGroovyMethods.min,0.903233036,0.951367617,0.951542079,0.951450106,0.951974928,0.951542079,0.951974928,0.951974928,0.951542079,0.951542079,0.951542079
TypeUtil.getType,0.82799014,0.829433739,0.828532338,0.837440297,0.828532338,0.829433739,0.829433739,0.829433739,0.837828159,0.845803142,0.852627873
MutableProgress.setTotal,0.933763597,0.920085967,0.95965308,0.952497274,0.960882008,0.966172814,0.915212691,0.929448605,0.961145222,0.961432934,0.942257404
BytePrimitiveVector.deserialize,0.733786562,0.892351449,0.746139884,0.843849868,0.905838013,0.823557973,0.906388938,0.754150748,0.760393262,0.905838013,0.771956623
NFAStateSerializer.serializeComputationStates,0.995232925,0.995349228,0.995207071,0.99521603,0.995258331,0.995207071,0.995258331,0.995258331,0.995207071,0.995207071,0.995207071
TransliteratorIDParser.parseCompoundID,0.857807016,0.911577463,0.914061248,0.927990427,0.961281538,0.964390516,0.932013214,0.970044136,0.940932989,0.963178039,0.935049832
TimeBoundedStreamJoin.removeExpiredRows,0.914067514,0.915941775,0.921688318,0.925174085,0.929105282,0.903978109,0.922840178,0.903420687,0.894487381,0.917948186,0.922862768
AtomicAllocator.getConfiguration,0.909071725,0.982917428,0.983212829,0.999853342,0.924034715,0.921132863,0.924034715,0.924034715,0.921132863,0.921132863,0.921132863
GammaDistribution.chisquaredProbitApproximation,0.906774394,0.895015121,0.928251982,0.907994178,0.924080431,0.908610404,0.891067207,0.893255293,0.911836743,0.932434916,0.912138045
CoordSysBuilder.findCoordinateTransforms,0.821791679,0.984961092,0.972124696,0.977435009,0.972497404,0.973351598,0.970823288,0.970823288,0.977793634,0.973351598,0.977793634
AntlrParserPlugin.mapExpression,0.830941151,0.903170049,0.880316079,0.881575155,0.857073843,0.852933705,0.848127365,0.842671871,0.862285376,0.842384934,0.919209659
NioGroovyMethods.write,0.937230707,0.929449022,0.937703073,0.900535124,0.93699944,0.916651845,0.936450839,0.92875731,0.916666269,0.916666269,0.92594254
HBondAcceptorCountDescriptor.calculate,0.953019744,0.93822515,0.941682518,0.962081781,0.944981694,0.939914703,0.938327074,0.948638976,0.954825342,0.960361123,0.949732482
RingbufferService.getOrCreateContainer,0.874584509,0.886727631,0.874815822,0.882321281,0.870733619,0.887593746,0.877609968,0.892147303,0.881197453,0.876549125,0.879930496
XLogPDescriptor.getDoubleBondedNitrogenCount,0.916163765,0.98719734,0.963423252,0.987520996,0.987855673,0.987591922,0.988003612,0.987979233,0.987591922,0.987591922,0.987591922
ClassWriter.writeInnerClasses,0.87957624,0.937285841,0.945862472,0.949086769,0.966889679,0.94831568,0.950565517,0.973387241,0.972574353,0.972486913,0.972994149
DiSHPreferenceVectorIndex.determinePreferenceVectorByMaxIntersection,0.821812571,0.918227792,0.913823903,0.93770835,0.933049262,0.91241616,0.938367963,0.936394274,0.903572083,0.942784727,0.93830657
HttpSessionsPanel.setSessionsTableColumnSizes,0.949987843,0.949598074,0.961371005,0.9595037,0.960770488,0.960051298,0.960051298,0.996543646,0.996916711,0.95798409,0.996916711
AvatarNode.getProtocolVersion,0.989572535,0.99003768,0.99005878,0.990260504,0.989769757,0.990008295,0.989983857,0.99005878,0.99005878,0.990008295,0.99005878
FileReader.checkFile,0.936818268,0.982243001,0.83903116,0.854748279,0.822969973,0.793201447,0.822902203,0.792287886,0.793201447,0.892149985,0.793201447
FactoryMultiView.bundleSparseMetric,0.86670784,0.95252943,0.938581884,0.943660777,0.953005612,0.928828597,0.953005612,0.953005612,0.952924669,0.948248506,0.952924669
CmsDialogElements.computeElements,0.940213514,0.943332791,0.919696212,0.921252323,0.938863337,0.938058853,0.946566105,0.920332491,0.941504955,0.932671785,0.943141341
MetadataType.getType,0.902319782,0.844534159,0.971674979,0.976085266,0.976130366,0.976355612,0.976130366,0.976130366,0.976355612,0.976355612,0.976355612
MDLV3000Reader.readBondBlock,0.870447626,0.890539467,0.915203333,0.916580531,0.944974124,0.940135837,0.919876695,0.943891823,0.947015822,0.94756335,0.93839258
VariableIndex.getRecordAt,0.683302394,0.673195243,0.625314832,0.693698218,0.628567815,0.665796876,0.706628084,0.69143784,0.704855263,0.706460238,0.810730875
CmsSecurityManager.readOwner,0.947794386,0.97889328,0.994569361,0.994917191,0.960833788,0.994538844,0.992567003,0.994447112,0.994538844,0.995061159,0.995061159
DefaultGroovyMethods.collect,0.95242419,0.999913394,1.000000119,0.99986256,1.000000119,0.950190187,0.955604553,0.947352588,0.950544655,0.94663167,0.950190187
Group.addEnumeration,0.837487058,0.86836648,0.881349623,0.881073644,0.761149347,0.872054875,0.880942106,0.871882319,0.881349623,0.880455136,0.881349623
TableFactoryService.discoverFactories,0.929987914,0.935416102,0.929667234,0.931316677,0.939256608,0.939548492,0.939256608,0.939256608,0.935416102,0.935153306,0.940935612
Broadcast.add,0.882902135,0.99499172,0.992698848,0.996735572,0.996522963,0.996487379,0.996487379,0.999921381,1.000000119,0.999921381,1.000000119
