sample_id,method_name,L1,L2,L3,L4,L5,L6,L7,L8,L9
1,RangeDateSelector.synchUI,5,4,1,3,9,2,8,6,7
10,StaticTypeCheckingVisitor.checkOrMarkPrivateAccess,9,8,5,7,6,3,1,4,2
22,Sql.inout,9,3,2,5,6,4,8,1,7
25,JavacParser.enumeratorDeclaration,9,6.5,3,4,5,1,6.5,8,2
30,CoronaJobHistory.logInited,5,2,6,4,8,3,7,1,9
47,S3URI.getChild,9,4,3,1,5,2,8,7,6
83,RingbufferService.getOrCreateContainer,7,5,4,6,9,1,8,3,2
105,SaturationChecker.couldMatchAtomType,9,7,1,4,3,5,2,8,6
122,CmsSecurityManager.readOwner,8,7,3.5,6,1.5,1.5,9,3.5,5
149,OptionsSpiderPanel.getHandleODataSpecificParameters,9,1,7,5,6,2,8,4,3
183,SiteMap.handleEvent,9,5.5,7,5.5,8,4,1,2,3
190,AbstractMapWritable.write,9,4,1,2,7,3,5,6,8
210,UPropertyAliases.getPropertyName,6,4,5,2,7,1,8,9,3
219,TagletManager.initCustomTaglets,9,6,7,2,3,1,4,8,5
224,ByteVector.getBytes,9,7,6,5,4,1,8,3,2
225,MAMatrix.dot,9,8,5,7,6,3,4,1,2
227,LabelAwareUimaSentenceIterator.currentLabel,9,4.5,3,1,6,4.5,8,2,7
238,CmsFileExplorer.onClickNew,9,5,8,7,4,2,3,6,1
255,NormalizedKeySorter.readPointer,7,6,2,5,8,1,9,4,3
259,CmsEntityBackend.createFromNativeWrapper,8,2,4,5,9,1,6,3,7
260,DataSet.leftOuterJoin,4,5,3,2,8,1,9,7,6
266,CmsXmlGroupContainer.fillResource,7,1,3,2,8,6,9,4,5
278,UtilOpenKinect.bufferRgbToMsU8,4,2,3,1,8,5,9,7,6
287,NoFetchingInput.require,9,4,5,3,8,2,6,7,1
288,ForkJoinPool.tryCompensate,9,8,3,7,6,2,1,5,4
344,CmsLockManager.internalSiblingLock,9,2,3,1,4,8,6,5,7
346,HttpMethodBase.getURI,9,6,1,7,5,8,2,4,3
359,GridGenerator.getCoordinatesFromGridPoint,5.5,1,5.5,8,4,7,9,3,2
367,UTF16.valueOf,9,4,6,5,8,7,2.5,1,2.5
369,InMemoryCookieStore.addIndex,9,2,1,6,3,4,8,7,5
405,GridHorizCoordSys.addGDSparams,9,8,5,7,4,3,2,6,1
414,CmsBasicDialog.createResourceListPanelDirectly,8.5,3,1,2,7,6,8.5,4,5
418,DFSUtil.getInfoServer,9,7,8,6,3,5,3,3,1
434,CmsResourceFilter.addRequireState,9,7,5,3,8,4,1,6,2
443,CmsToolManager.getParent,4,3,2,5,6,7,8,1,9
447,ModulusSubstitution.doSubstitution,9,3.5,2,6,5,7,8,1,3.5
453,CanonicalLabeler.isInvPart,9,3,5,1,7,2,6,8,4
465,DoradeSWIB.getAzimuths,9,7,4,1,5,3,6,2,8
472,CDKRGraph.parseRec,9,8,2,4,6,1,3,7,5
483,MapStoreWrapper.loadAllKeys,9,3,2,1,7,4,8,5,6
486,DefaultGroovyMethods.split,7,3,2,1,4,6,9,8,5
503,SerializerBase.addXSLAttribute,9,7,5,8,6,4,2,1,3
504,ExampleAssociatePoints.associate,9,6,2,4,8,5,1,7,3
528,HttpSessionsSite.createEmptySessionAndSetAsActive,8.5,6.5,5,2,8.5,1,6.5,3,4
529,FractionalCSP3Descriptor.calculate,9,6,3,1,7,2,8,5,4
540,CardinalityEstimatorContainerCollector.onIteration,9,5,4,3,7,2,6,1,8
550,Infer.instantiateMethod,9,8,7,4,1,5,3,2,6
553,RGroupQuery.findDistributions,4,1,3,2,6,9,7.5,5,7.5
558,AbstractCompletableFuture.get,9,7,5,6,8,4,2,1,3
562,BindPath.updatePath,8,5,2,4,9,7,6,3,1
564,CmsLanguageCopyFolderAndLanguageSelectDialog.initDialogObject,9,2,1,5,3,6,8,7,4
565,Gen.makeTemp,6,3,4,5,8,1,7,9,2
566,FileCopier.internalCopyFile,8,5,3,2,4,1,7,6,9
567,ListParameterization.serialize,8,1,2,5,4,3,7,6,9
584,AbstractAppParamPlugin.isToExclude,9,8,7,6,5,3,2,4,1
585,InvocationWriter.castToNonPrimitiveIfNecessary,9,4,5,7,1,2,6,3,8
